Num_solicitud;IUM_Medicamento;id_importador;fecha_autorizacion;Tipo_solicitud
1;1H1034661001100;61;25/09/2020;PACIENTE ESPECIFICO
2;1I1030991006100;127;18/03/2020;URGENCIA CLINICA
3;1T1018051000100;64;3/05/2022;URGENCIA CLINICA
4;1A1000141000100;133;26/04/2021;URGENCIA CLINICA
5;1L1005651000100;118;18/05/2020;MAS DE UN PACIENTE
6;1L1005651000100;118;15/04/2021;MAS DE UN PACIENTE
7;1E1001601002100;132;6/03/2022;MAS DE UN PACIENTE
8;1L1003331003100;64;18/05/2022;MAS DE UN PACIENTE
9;1C1029821000100;128;8/06/2022;MAS DE UN PACIENTE
10;1F1008331000100;87;19/03/2022;MAS DE UN PACIENTE
11;1F1008331000100;87;2/09/2020;PACIENTE ESPECIFICO
12;1M1017221001100;100;16/01/2021;PACIENTE ESPECIFICO
13;1N1024161000102;64;28/04/2022;PACIENTE ESPECIFICO
14;1I1034601000101;133;21/12/2020;PACIENTE ESPECIFICO
15;1A1000141000100;13;16/11/2020;PACIENTE ESPECIFICO
16;1A1001711000100;13;17/11/2021;PACIENTE ESPECIFICO
17;2E1032451000100;87;20/12/2022;PACIENTE ESPECIFICO
18;1U1005691001100;64;24/03/2021;PACIENTE ESPECIFICO
19;1L1018031002100;118;9/09/2022;PACIENTE ESPECIFICO
20;1L1018031002100;118;10/10/2020;PACIENTE ESPECIFICO
21;1L1018031002100;118;6/07/2022;PACIENTE ESPECIFICO
22;1L1018031002100;118;6/09/2021;PACIENTE ESPECIFICO
23;1L1018031002100;118;23/03/2022;PACIENTE ESPECIFICO
24;1L1018031002100;118;24/09/2020;PACIENTE ESPECIFICO
25;1M1017221001100;100;3/09/2020;PACIENTE ESPECIFICO
26;1M1017221001100;100;3/10/2021;PACIENTE ESPECIFICO
27;1M1017221001100;100;22/11/2020;PACIENTE ESPECIFICO
28;1A1001711000100;13;1/07/2022;PACIENTE ESPECIFICO
29;1A1000141000100;13;14/01/2020;PACIENTE ESPECIFICO
30;1E1029551000101;155;27/07/2020;PACIENTE ESPECIFICO
31;1F1002641000100;39;26/12/2022;PACIENTE ESPECIFICO
32;1I1027571000101;27;23/03/2020;PACIENTE ESPECIFICO
33;1A1000141000100;13;30/05/2021;PACIENTE ESPECIFICO
34;1L1034901000100;62;25/04/2021;PACIENTE ESPECIFICO
35;1T1001911000100;63;8/08/2021;PACIENTE ESPECIFICO
36;1I1024251000100;87;15/10/2022;PACIENTE ESPECIFICO
37;2E1032451000100;87;5/12/2020;PACIENTE ESPECIFICO
38;1F1007471004100;61;10/07/2020;PACIENTE ESPECIFICO
39;2E1032451000100;87;24/10/2020;PACIENTE ESPECIFICO
40;1M1000831000100;154;21/10/2022;PACIENTE ESPECIFICO
41;1E1032981012100;61;20/01/2022;PACIENTE ESPECIFICO
42;1E1032981011100;61;14/04/2021;PACIENTE ESPECIFICO
43;1Q1027291000100;64;25/07/2020;PACIENTE ESPECIFICO
44;1C1029821000100;128;30/04/2021;PACIENTE ESPECIFICO
45;1I1030991006100;15;23/01/2020;PACIENTE ESPECIFICO
46;1A1005551007100;131;22/09/2022;PACIENTE ESPECIFICO
47;1S1011101000100;128;16/05/2020;PACIENTE ESPECIFICO
48;1E1023551003100;64;9/09/2021;PACIENTE ESPECIFICO
49;1M1006061005100;56;22/08/2020;PACIENTE ESPECIFICO
50;2E1032451000100;87;12/05/2022;PACIENTE ESPECIFICO
51;1I1035001000101;87;7/09/2021;PACIENTE ESPECIFICO
52;1I1033751003100;100;7/10/2021;PACIENTE ESPECIFICO
53;1T1001911004100;76;4/10/2021;PACIENTE ESPECIFICO
54;2E1032451000100;87;15/04/2022;PACIENTE ESPECIFICO
55;1A1001701000100;13;18/11/2020;PACIENTE ESPECIFICO
56;1A1001701000100;13;3/07/2022;PACIENTE ESPECIFICO
57;1P1024051000100;64;3/11/2021;PACIENTE ESPECIFICO
58;1M1018461000101;155;6/08/2022;PACIENTE ESPECIFICO
59;2E1032451000100;87;20/01/2021;PACIENTE ESPECIFICO
60;1A1001711000100;13;24/03/2021;PACIENTE ESPECIFICO
61;1A1000141000100;13;19/05/2022;PACIENTE ESPECIFICO
62;1A1000141000100;13;26/09/2021;PACIENTE ESPECIFICO
63;1A1001701000100;13;5/07/2020;PACIENTE ESPECIFICO
64;1A1000141000100;13;4/08/2020;PACIENTE ESPECIFICO
65;1F1028711001100;8;24/10/2020;PACIENTE ESPECIFICO
66;1E1001601002100;132;14/12/2021;PACIENTE ESPECIFICO
67;1I1001001000100;9;8/08/2020;PACIENTE ESPECIFICO
68;1E1032981013100;61;29/10/2022;PACIENTE ESPECIFICO
69;1E1032981012100;61;31/01/2022;PACIENTE ESPECIFICO
